OTU_ID	k	p	c	o	f	g	s
OTU_64	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Cryptococcus	s:Cryptococcus_terreus
OTU_61	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales			
OTU_58	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Fusarium	s:Fusarium_merismoides
OTU_47	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellales_Incertae_sedis	g:Dioszegia	s:Dioszegia_zsoltii
OTU_66	d:Fungi						
OTU_53	d:Fungi	p:Ascomycota	c:Leotiomycetes				
OTU_63	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Lophiostomataceae	g:Herpotrichia	s:Herpotrichia_juniperi
OTU_72	d:Fungi						
OTU_70	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreales_Incertae_sedis	g:Myrothecium	s:Myrothecium_verrucaria
OTU_67	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariomycetidae_Incertae_sedis	f:Plectosphaerellaceae	g:Gibellulopsis	s:Gibellulopsis_nigrescens
OTU_74	d:Fungi	p:Zygomycota	c:Mucoromycotina_Incertae_sedis	o:Mortierellales	f:Mortierellaceae	g:Mortierella	s:Mortierella_minutissima
OTU_71	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Helotiales_Incertae_sedis	g:Tetracladium	
OTU_68	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	s:Podospora_intestinacea
OTU_75	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariomycetes_Incertae_sedis	f:Sordariomycetes_Incertae_sedis	g:Myrmecridium	s:Myrmecridium_schulzeri
OTU_69	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_78	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Ophiosphaerella	s:Ophiosphaerella_agrostis
OTU_77	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreales_Incertae_sedis	g:Myrothecium	s:Myrothecium_cinctum
OTU_79	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Talaromyces	
OTU_82	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Bolbitiaceae	g:Conocybe	
OTU_76	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Epicoccum	s:Epicoccum_sorghi
OTU_80	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporales_Incertae_sedis	g:Periconia	s:Periconia_macrospinosa
OTU_81	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_73	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Hypocrea	s:Trichoderma_evansii
OTU_84	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae		
OTU_87	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales			
OTU_89	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Nidulariaceae	g:Cyathus	s:Cyathus_stercoreus
OTU_85	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolaceae	g:Sporidiobolus	s:Sporidiobolus_pararoseus
OTU_88	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Diaporthales	f:Diaporthaceae	g:Diaporthe	s:Diaporthe_caulivora
OTU_93	d:Fungi	p:Ascomycota	c:Dothideomycetes				
OTU_90	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_86	d:Fungi	p:Ascomycota	c:Leotiomycetes				
OTU_94	d:Fungi	p:Ascomycota					
OTU_95	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Clavicipitaceae	g:Nomuraea	s:Nomuraea_rileyi
OTU_98	d:Fungi	p:Ascomycota					
OTU_96	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Fusarium	s:Fusarium_langsethiae
OTU_97	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Cryptococcus	s:Cryptococcus_carnescens
OTU_99	d:Fungi	p:Ascomycota					
OTU_91	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellales_Incertae_sedis	g:Hannaella	s:Hannaella_zeae
OTU_83	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_101	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	s:Podospora_tetraspora
OTU_100	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	s:Podospora_curvicolla
OTU_103	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	s:Podospora_tetraspora
OTU_102	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_92	d:Fungi	p:Ascomycota					
OTU_104	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_107	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_109	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreales_Incertae_sedis	g:Emericellopsis	
OTU_106	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Phaeosphaeriopsis	
OTU_111	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	s:Podospora_tetraspora
OTU_105	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Clavicipitaceae	g:Metacordyceps	s:Metacordyceps_taii
OTU_112	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Eupenicillium	s:Penicillium_restrictum
OTU_113	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreales_Incertae_sedis		
OTU_114	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae		
OTU_117	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Exophiala	s:Exophiala_equina
OTU_110	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales			
OTU_119	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_115	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Hyponectriaceae	g:Microdochium	s:Microdochium_bolleyi
OTU_124	d:Fungi						
OTU_120	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Helotiaceae	g:Tricladium	s:Zalerion_varium
OTU_125	d:Fungi						
OTU_116	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Diversisporales	f:Gigasporaceae		
OTU_126	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_127	d:Fungi						
OTU_123	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales			
OTU_108	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Cephalothecaceae	g:Cephalotheca	s:Cephalotheca_sulfurea
OTU_118	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_130	d:Fungi						
OTU_122	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellales_Incertae_sedis	g:Bullera	s:Bullera_variabilis
OTU_129	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Hypocrea	s:Trichoderma_spirale
OTU_132	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_121	d:Fungi						
OTU_136	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae		
OTU_137	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Hypocrea	
OTU_135	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Trichosphaeriales	f:Trichosphaeriales_Incertae_sedis	g:Khuskia	s:Khuskia_oryzae
OTU_128	d:Fungi						
OTU_133	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Dipodascaceae		
OTU_131	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Neonectria	
OTU_138	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolaceae	g:Sporidiobolus	s:Sporobolomyces_ruberrimus
OTU_140	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolales_Incertae_sedis	g:Sporobolomyces	
OTU_143	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Leptosphaeriaceae	g:Coniothyrium	s:Coniothyrium_cereale
OTU_139	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Cryptococcus	s:Cryptococcus_victoriae
OTU_142	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Coprinaceae	g:Coprinus	s:Coprinus_patouillardi
OTU_141	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_134	d:Fungi						
OTU_147	d:Fungi						
OTU_146	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporales_Incertae_sedis	g:Phoma	s:Phoma_radicina
OTU_145	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	s:Podospora_tetraspora
OTU_144	d:Fungi	p:Ascomycota					
OTU_150	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariomycetidae_Incertae_sedis	f:Magnaporthaceae	g:Mycoleptodiscus	s:Mycoleptodiscus_terrestris
OTU_152	d:Fungi						
OTU_153	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	s:Podospora_tetraspora
OTU_156	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Exophiala	s:Exophiala_pisciphila
OTU_157	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_151	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolales_Incertae_sedis	g:Sporobolomyces	s:Sporobolomyces_coprosmae
OTU_154	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Chaetosphaeriales	f:Chaetosphaeriaceae		
OTU_162	d:Fungi	p:Ascomycota	c:Eurotiomycetes				
OTU_149	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellales_Incertae_sedis	g:Dioszegia	s:Dioszegia_hungarica
OTU_158	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Phaeosphaeriopsis	s:Phaeoseptoria_musae
OTU_159	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Hyaloscyphaceae	g:Lachnum	
OTU_163	d:Fungi	p:Ascomycota					
OTU_155	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Cryptococcus	s:Cryptococcus_flavescens
OTU_165	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Cryptococcus	s:Cryptococcus_terricola
OTU_164	d:Fungi	p:Zygomycota	c:Mucoromycotina_Incertae_sedis	o:Mortierellales	f:Mortierellaceae	g:Mortierella	
OTU_167	d:Fungi						
OTU_166	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Vibrisseaceae	g:Phialocephala	s:Phialocephala_xalapensis
OTU_148	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_171	d:Fungi						
OTU_161	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Cryptococcus	s:Cryptococcus_podzolicus
OTU_174	d:Fungi						
OTU_173	d:Fungi	p:Ascomycota	c:Pezizomycotina_Incertae_sedis	o:Pezizomycotina_Incertae_sedis	f:Pezizomycotina_Incertae_sedis	g:Knufia	s:Sarcinomyces_petricola
OTU_168	d:Fungi	p:Ascomycota					
OTU_169	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Sporormiaceae	g:Preussia	s:Preussia_aemulans
OTU_177	d:Fungi						
OTU_170	d:Fungi						
OTU_160	d:Fungi	p:Zygomycota	c:Mucoromycotina_Incertae_sedis	o:Mortierellales	f:Mortierellaceae	g:Mortierella	s:Mortierella_elongata
OTU_176	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	
OTU_172	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae		
OTU_179	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariomycetidae_Incertae_sedis	f:Glomerellaceae	g:Glomerella	s:Colletotrichum_dematium
OTU_181	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_178	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Edenia	s:Edenia_gomezpompae
OTU_180	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Cosmospora	
OTU_182	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales			
OTU_183	d:Fungi						
OTU_185	d:Fungi						
OTU_187	d:Fungi	p:Ascomycota					
OTU_186	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales			
OTU_175	d:Fungi	p:Ascomycota					
OTU_190	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	s:Podospora_tetraspora
OTU_192	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Helotiaceae	g:Crocicreas	
OTU_195	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales			
OTU_188	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae		
OTU_189	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_193	d:Fungi	p:Ascomycota					
OTU_196	d:Fungi	p:Chytridiomycota	c:Chytridiomycetes	o:Rhizophlyctidales	f:Rhizophlyctidaceae	g:Rhizophlyctis	s:Rhizophlyctis_rosea
OTU_194	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Diaporthales	f:Diaporthaceae	g:Diaporthe	
OTU_191	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporales_Incertae_sedis	g:Phoma	s:Phoma_paspali
OTU_184	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Cochliobolus	
OTU_201	d:Fungi	p:Ascomycota					
OTU_199	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Entolomataceae	g:Clitopilus	s:Clitopilus_passeckerianus
OTU_198	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_megalocarpum
OTU_204	d:Fungi						
OTU_202	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_200	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolaceae	g:Sporidiobolus	s:Sporidiobolus_sp_JPS_2007a
OTU_205	d:Fungi	p:Ascomycota					
OTU_208	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_197	d:Fungi	p:Basidiomycota					
OTU_206	d:Fungi	p:Ascomycota					
OTU_212	d:Fungi						
OTU_207	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_213	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Hypocrea	s:Trichoderma_velutinum
OTU_215	d:Fungi						
OTU_210	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae		
OTU_211	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_209	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Bionectriaceae	g:Bionectria	s:Bionectria_epichloe
OTU_217	d:Fungi						
OTU_218	d:Fungi	p:Ascomycota	c:Pezizomycotina_Incertae_sedis	o:Pezizomycotina_Incertae_sedis	f:Pezizomycotina_Incertae_sedis	g:Knufia	s:Sarcinomyces_petricola
OTU_221	d:Fungi						
OTU_219	d:Fungi	p:Ascomycota					
OTU_214	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales			
OTU_224	d:Fungi	p:Ascomycota					
OTU_203	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Leotiomycetes_Incertae_sedis	f:Leotiomycetes_Incertae_sedis	g:Leohumicola	
OTU_226	d:Fungi						
OTU_223	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_228	d:Fungi	p:Ascomycota					
OTU_230	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_222	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Cryptococcus	s:Cryptococcus_magnus
OTU_225	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales			
OTU_220	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Cylindrocarpon	s:Cylindrocarpon_pauciseptatum
OTU_227	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales			
OTU_229	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Phallales	f:Phallaceae	g:Lysurus	s:Lysurus_cruciatus
OTU_232	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Chaetothyriaceae	g:Cyphellophora	
OTU_231	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Sistotremataceae	g:Sistotrema	s:Sistotrema_brinkmannii
OTU_216	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Leptosphaeriaceae	g:Paraphoma	s:Paraphoma_chrysanthemicola
OTU_240	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Phaeosphaeria	s:Phaeosphaeria_herpotrichoides
OTU_241	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_235	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Phialosimplex	s:Phialosimplex_caninus
OTU_233	d:Fungi	p:Chytridiomycota	c:Chytridiomycetes	o:Rhizophydiales	f:Rhizophydiaceae	g:Rhizophydium	
OTU_237	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Dothideales	f:Dothioraceae	g:Kabatiella	s:Aureobasidium_pullulans
OTU_236	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	s:Podospora_tetraspora
OTU_242	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales			
OTU_239	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae		
OTU_243	d:Fungi	p:Zygomycota	c:Mucoromycotina_Incertae_sedis	o:Mortierellales	f:Mortierellaceae	g:Mortierella	s:Mortierella_alpina
OTU_238	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales			
OTU_244	d:Fungi						
OTU_246	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Phaeosphaeria	
OTU_247	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Trichocladium	s:Trichocladium_opacum
OTU_245	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Cryptococcus	s:Cryptococcus_macerans
OTU_248	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Teratosphaeriaceae	g:Devriesia	s:Devriesia_pseudoamericana
OTU_254	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Phaeosphaeria	s:Phaeosphaeria_nodorum
OTU_250	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_234	d:Fungi	p:Ascomycota					
OTU_255	d:Fungi						
OTU_256	d:Fungi						
OTU_257	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
